idveiculo,dia,mes,diadasemana,hora,Velocidade,Longitude,Latitude,Eventos
47,22,4,5,0.42266203704,29,-44.21860123,-2.582240105,3
64,21,3,1,0.39358796296,33,-44.21860123,-2.582210064,3
71,21,4,4,0.56565972222,27,-44.21860123,-2.582220078,3
77,18,5,3,0.88559027778,38,-44.21860123,-2.582180023,3
160,16,5,1,0.74849537037,25,-44.21860123,-2.53482008,3
160,19,5,4,0.39237268519,37,-44.21860123,-2.582230091,3
171,28,5,6,0.74920138889,29,-44.21860123,-2.582269907,3
215,29,5,7,0.24978009259,28,-44.21860123,-2.518840075,3
7,6,5,5,0.29047453704,25,-44.21849823,-2.499330044,3
27,29,4,5,0.21608796296,29,-44.21849823,-2.51444006,3
56,26,4,2,0.71684027778,31,-44.21849823,-2.512629986,3
68,4,5,3,0.76429398148,19,-44.21849823,-2.505130053,3
69,26,5,4,0.26206018519,34,-44.21849823,-2.515219927,3
72,25,3,5,0.64481481481,57,-44.21849823,-2.582309961,3
145,18,5,3,0.61385416667,45,-44.21849823,-2.58239007,3
27,21,5,6,0.39576388889,39,-44.21839905,-2.515300035,3
47,12,5,4,0.35908564815,55,-44.21839905,-2.483340025,3
71,13,4,3,0.22907407407,38,-44.21839905,-2.582370043,3
90,1,4,5,0.89108796296,40,-44.21839905,-2.58246994,3
99,14,5,6,0.25371527778,59,-44.21839905,-2.582309961,3
103,24,5,2,0.26096064815,51,-44.21839905,-2.58239007,3
166,20,5,5,0.76881944444,54,-44.21839905,-2.582309961,3
199,1,6,3,0.89118055556,46,-44.21839905,-2.582380056,3
201,27,5,5,0.75261574074,27,-44.21839905,-2.573189974,3
6,11,5,3,0.27633101852,24,-44.21829987,-2.518790007,3
46,11,4,1,0.25351851852,30,-44.21829987,-2.573329926,3
46,15,5,7,0.25383101852,28,-44.21829987,-2.573349953,3
60,27,5,5,0.71622685185,25,-44.21829987,-2.514309883,3
66,27,4,3,0.74187500000,41,-44.21829987,-2.582520008,3
68,27,4,3,0.86525462963,25,-44.21829987,-2.598939896,3
91,26,5,4,0.89694444444,42,-44.21829987,-2.582489967,3
160,28,5,6,0.70905092593,40,-44.21829987,-2.582429886,3
180,28,5,6,0.24340277778,45,-44.21829987,-2.582459927,3
209,4,5,3,0.24729166667,48,-44.21829987,-2.582459927,3
7,12,5,4,0.25873842593,35,-44.21820068,-2.582590103,3
7,17,5,2,0.39006944444,38,-44.21820068,-2.582570076,3
17,21,5,6,0.55491898148,32,-44.21820068,-2.58265996,3
61,17,5,2,0.22340277778,39,-44.21820068,-2.582570076,3
63,31,3,4,0.25737268519,33,-44.21820068,-2.552890062,3
70,30,4,6,0.27902777778,38,-44.21820068,-2.541820049,3
90,31,3,4,0.88870370370,37,-44.21820068,-2.582619905,3
96,12,5,4,0.27362268519,46,-44.21820068,-2.541830063,3
171,15,4,5,0.26517361111,21,-44.21820068,-2.598920107,3
189,31,5,2,0.68913194444,42,-44.21820068,-2.58258009,3
211,5,4,2,0.39100694444,39,-44.21820068,-2.582619905,3
7,17,5,2,0.79428240741,26,-44.2181015,-2.600840092,3
9,26,5,4,0.23260416667,58,-44.2181015,-2.542089939,3
21,26,5,4,0.22594907407,34,-44.2181015,-2.57449007,3
27,26,5,4,0.39104166667,17,-44.2181015,-2.513770103,3
56,14,4,4,0.79067129630,22,-44.2181015,-2.600509882,3
61,20,5,5,0.22988425926,44,-44.2181015,-2.550270081,3
70,10,5,2,0.25744212963,26,-44.2181015,-2.552920103,3
83,14,5,6,0.25990740741,31,-44.2181015,-2.574500084,3
2,3,5,2,0.21576388889,26,-44.2179985,-2.600349903,3
2,24,5,2,0.21873842593,42,-44.2179985,-2.582799911,3
15,15,3,2,0.21936342593,21,-44.2179985,-2.60029006,3
16,5,4,2,0.54670138889,30,-44.2179985,-2.600189924,3
17,20,5,5,0.20231481481,29,-44.2179985,-2.600280046,3
18,30,4,6,0.75859953704,33,-44.2179985,-2.600409985,3
18,5,5,4,0.71251157407,31,-44.2179985,-2.600150108,3
19,24,4,7,0.09010416667,23,-44.2179985,-2.600490093,3
19,24,4,7,0.38001157407,31,-44.2179985,-2.600359917,3
24,10,5,2,0.70380787037,18,-44.2179985,-2.600569963,3
26,23,4,6,0.19773148148,19,-44.2179985,-2.600589991,3
26,30,4,6,0.19150462963,20,-44.2179985,-2.600650072,3
